chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
100.0,100.0,223340,0,0,1,-1,7,3,4.2,4.2,2,Bukayo,3.7,13,True,,2023-01-13T15:00:07.612275Z,81,223340.jpg,5.4,Saka,28.5,False,,a,1,3,194,6042297,7581,5238738,31894,0.5,24.0,Saka,3034,13,12,12,41,0,0,1,6,0,0,19,645,963.4,1059.2,1141.0,316.4,35,11.19,5.84,17.03,38.82,7,2,8,6,9,4,5,3,1.0,,,,1.0,,0.33,0.0,0.17,0.5,1.15,1.22,15,6,61,34,12,6,9,6,1.04,0.36
0.0,0.0,223723,0,0,-3,3,0,2,0.0,0.0,0,Takehiro,0.0,14,False,Knee injury - Expected back 01 Jul,2023-03-17T00:00:06.857640Z,42,223723.jpg,1.5,Tomiyasu,0.5,False,,i,1,3,32,89651,3,224264,58,0.0,7.6,Tomiyasu,651,0,1,2,11,0,0,0,2,0,0,0,173,137.0,86.6,55.0,27.7,6,0.24,0.23,0.47,8.93,352,143,306,98,335,115,367,127,,,,,,,0.03,0.0,0.03,0.06,1.23,1.52,604,172,522,209,401,142,272,101,0.83,0.28
100.0,100.0,225321,0,0,-2,2,3,1,3.7,3.7,2,Aaron,3.2,15,False,,2022-08-31T22:30:06.428076Z,48,225321.jpg,3.8,Ramsdale,10.8,False,,a,1,3,135,1619525,3560,2093595,3096,0.7,28.1,Ramsdale,3240,0,0,13,42,0,0,0,1,0,93,9,635,749.2,0.0,0.0,75.0,36,0.00,0.02,0.02,41.29,26,7,736,78,729,73,183,8,,,,,,,0.0,2.58,0.0,0.0,1.15,1.17,284,11,85,9,72,14,41,7,1.0,0.36
100.0,100.0,226597,0,0,2,-2,3,2,2.5,2.5,1,Gabriel,2.0,16,True,,2023-05-03T06:30:06.887452Z,52,226597.jpg,3.9,dos Santos Magalhães,13.0,False,,a,1,3,139,2816132,6186,2418856,5339,0.4,26.7,Gabriel,3229,3,0,13,42,0,0,0,4,0,0,15,686,714.4,113.4,401.0,122.9,36,5.04,0.60,5.64,40.82,34,6,260,72,81,3,84,10,,,,,,,0.14,0.0,0.02,0.16,1.14,1.17,163,17,174,50,67,15,34,12,1.0,0.36
0.0,0.0,437626,0,0,0,0,0,2,0.0,0.0,0,Nuno,0.0,17,False,Joined Marseille on loan - Expected back 01 Jul,2022-07-31T21:00:04.269675Z,45,437626.jpg,0.0,Varela Tavares,0.0,False,,u,1,3,0,0,0,1980,0,0.0,0.0,Tavares,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,680,253,677,253,662,252,683,253,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,391,81,622,246,687,253,693,250,0.0,0.0
75.0,,444145,0,0,7,-7,4,3,3.2,4.3,1,Gabriel,3.8,19,True,Knock - 75% chance of playing,2023-05-14T20:00:08.628890Z,67,444145.jpg,5.5,Martinelli Silva,38.0,False,,d,1,3,198,7870730,7761,6278267,85254,0.6,29.6,Martinelli,2789,15,9,14,33,0,0,0,3,0,0,18,648,844.2,838.1,1300.0,298.1,34,9.15,6.98,16.13,36.16,17,7,15,13,5,3,6,4,4.0,,3.0,,3.0,,0.3,0.0,0.23,0.53,1.17,1.06,47,24,55,29,10,5,4,2,1.1,0.45
0.0,0.0,92371,0,0,0,0,0,2,0.0,0.0,0,Pablo,0.0,20,False,Season-long loan to Monza,2022-08-12T14:22:56.974936Z,45,92371.jpg,0.0,Marí Villar,0.0,False,,u,1,3,0,162,0,4184,0,0.0,0.0,Pablo Marí,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,661,250,657,250,642,248,665,250,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,350,64,597,239,669,250,648,234,0.0,0.0
0.0,0.0,198849,0,0,0,0,0,3,0.0,0.0,0,Lucas,0.0,22,False,Transferred to Galatasaray,2022-08-10T10:32:07.133718Z,45,198849.jpg,0.0,Torreira di Pascua,0.1,False,,u,1,3,0,2811,0,39168,3,0.0,0.0,Torreira,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,668,266,664,269,649,262,672,268,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,367,209,607,226,676,272,465,170,0.0,0.0
100.0,100.0,200641,0,0,-3,3,2,3,2.0,2.0,1,Reiss,1.5,23,False,,2022-12-22T15:30:07.123983Z,47,200641.jpg,4.1,Nelson,0.0,False,,a,1,3,41,16449,33,17600,26,0.3,8.7,Nelson,172,3,3,1,3,0,0,0,0,0,0,5,118,169.8,99.2,155.0,42.4,0,0.94,0.37,1.31,1.98,318,131,283,153,209,122,304,137,,,,,,,0.49,0.0,0.19,0.68,1.04,1.57,316,190,210,102,46,23,553,218,0.0,0.52
100.0,100.0,224068,0,0,-2,2,0,1,0.5,0.5,0,Matt,0.0,24,False,,2022-10-27T22:30:07.060057Z,38,224068.jpg,0.0,Turner,1.3,False,,a,1,3,0,230993,345,224757,284,0.0,0.0,Turner,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,540,44,517,20,482,10,543,44,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,759,83,408,33,549,44,164,25,0.0,0.0
